policy,K,direction,seed,f1_in_domain,benign_f1_in_domain,macro_f1_in_domain,acc_in_domain,sensitivity_in_domain,fpr_in_domain,precision_in_domain,specificity_in_domain,balanced_acc_in_domain,mcc_in_domain,f1_cross_domain,benign_f1_cross_domain,macro_f1_cross_domain,acc_cross_domain,sensitivity_cross_domain,fpr_cross_domain,precision_cross_domain,specificity_cross_domain,balanced_acc_cross_domain,mcc_cross_domain,f1_cross_covariate,benign_f1_cross_covariate,macro_f1_cross_covariate,acc_cross_covariate,sensitivity_cross_covariate,fpr_cross_covariate,precision_cross_covariate,specificity_cross_covariate,balanced_acc_cross_covariate,mcc_cross_covariate,f1_indomain_other_scaler,benign_f1_indomain_other_scaler,macro_f1_indomain_other_scaler,acc_indomain_other_scaler,sensitivity_indomain_other_scaler,fpr_indomain_other_scaler,precision_indomain_other_scaler,specificity_indomain_other_scaler,balanced_acc_indomain_other_scaler,mcc_indomain_other_scaler,gen_gap_f1,gen_gap_f1_covariate,gen_gap_macro_f1,gen_gap_macro_f1_covariate
axis1_stable,30,2018->2017,44,0.9913914493898692,0.9800667558370703,0.9857291026134698,0.987975784805051,0.9984545224668934,0.035728,0.9844276028236738,0.964272,0.9813632612334466,0.9717287557245504,9.782438566285804e-05,0.8296308395949036,0.4148643319902832,0.7088666723632117,4.946087644673064e-05,0.004516,0.004409171075837742,0.995484,0.4977667304382234,-0.035643635663723014,0.5196887336876747,0.8704101211067972,0.6950494273972359,0.7958899427497222,0.38349985161737066,0.037356,0.8058702475731182,0.962644,0.6730719258086854,0.4557927956731985,0.0019959586253673976,0.4694196063848369,0.23570778250510213,0.30717418680818764,0.000999078725635299,0.000232,0.9069020866773676,0.999768,0.5003835393628177,0.012800845663274742,0.9912936250042064,0.4717027157021946,0.5708647706231866,0.29067967521623395
axis1_stable,30,2018->2017,45,0.991390745336544,0.9800637909899801,0.9857272681632621,0.9879745585950577,0.998473973557127,0.035776,0.9844073068085537,0.964224,0.9813489867785634,0.9717266475617187,9.778803465607949e-05,0.8295567060831647,0.4148272470589104,0.7087584380073485,4.946087644673064e-05,0.004668,0.004266211604095563,0.995332,0.49769073043822337,-0.03625615809454819,0.5240950536971654,0.871526829524142,0.6978109416106537,0.7976729613489418,0.3869225442674844,0.036236,0.8119486019139351,0.963764,0.6753432721337422,0.4615083201847672,0.001995955099841913,0.4694181690811412,0.23570706209049155,0.30717296059819427,0.000999078725635299,0.000236,0.905448717948718,0.999764,0.5003815393628176,0.012723894633453678,0.9912929573018879,0.4672956916393787,0.5709000211043517,0.28791632655260835
axis1_stable,30,2018->2017,46,0.991417620215648,0.9801286272979324,0.9857731237567902,0.988012571104852,0.9984615955906146,0.035624,0.9844723366640107,0.964376,0.9814187977953073,0.9718153227926145,9.77822974928619e-05,0.8295449999333235,0.4148213911154082,0.7087413483722123,4.946087644673064e-05,0.004692,0.004244482173174873,0.995308,0.49767873043822336,-0.03635194155040695,0.5220684888810592,0.8728150683202487,0.6974417786006539,0.7990942493377766,0.38109605302205957,0.031884,0.8285658981417756,0.968116,0.6746060265110297,0.4664927076595468,0.00199596567645573,0.46942248098413,0.23570922333029284,0.3071766392281744,0.000999078725635299,0.000224,0.9098228663446055,0.999776,0.5003875393628177,0.01295514356846764,0.9913198379181551,0.4693491313345889,0.570951732641382,0.28833134515613623
axis2_stable,30,2017->2018,42,0.9994706403273125,0.999786020969945,0.9996283306486287,0.9996952348400695,0.999228410327431,0.000116,0.9997129877970329,0.999884,0.9995562051637155,0.999256719210463,0.6168948509472713,0.5561105376002541,0.5865026942737627,0.5887365254849354,0.4774959727401812,0.159628,0.8712432366160011,0.840372,0.6589339863700906,0.30193029201038546,0.14154578941514384,0.4853002614550868,0.31342302543511535,0.35645066160160194,0.0765099792934303,0.0103,0.9438300285757912,0.9897,0.5331049896467152,0.13253383744551486,0.9190396374294195,0.9646086525827169,0.9418241450060683,0.9507476715372127,0.9708873281234544,0.057396,0.8724487981794908,0.942604,0.9567456640617271,0.8864009894120581,0.3825757893800412,0.8579248509121686,0.413125636374866,0.6862053052135133
axis2_stable,30,2017->2018,43,0.999490429473955,0.9997940201860218,0.9996422248299884,0.9997066279301604,0.9992481946780097,0.000108,0.9997327817420651,0.999892,0.9995700973390049,0.9992845075741323,0.6213500835516109,0.5682847013192183,0.5948173924354145,0.5965548404026383,0.47735274198482464,0.1338,0.8897505957422965,0.8662,0.6717763709924123,0.3277123709255495,0.13904911900777636,0.4862623861725185,0.31265575259014744,0.35650461484131,0.07493620926543842,0.006564,0.9627206433585497,0.993436,0.5341861046327192,0.13950358603279214,0.9245655138983276,0.9677219939035178,0.9461437539009228,0.9547893702469452,0.9622514590958552,0.048228,0.8897202074434515,0.951772,0.9570117295479276,0.8937549486483752,0.37814034592234413,0.8604413104661787,0.4048248323945739,0.686986472239841
axis2_stable,30,2017->2018,44,0.9995894117705257,0.999834010291362,0.9997117110309439,0.9997635933806147,0.9994361460085073,0.000104,0.9997427245470468,0.999896,0.9996660730042537,0.9994234452414641,0.6434590271067345,0.5662821368244965,0.6048705819656155,0.6086391398872623,0.5092666762153837,0.166572,0.8736728106684787,0.833428,0.6713473381076918,0.321970418424781,0.14286626111462983,0.4865556953127528,0.3147109782136913,0.35780317122428484,0.0771801577660246,0.007404,0.9593168930502439,0.992596,0.5348880788830124,0.14016946703585995,0.9208016028302904,0.9654866406165334,0.943144121723412,0.9519240080890939,0.9706400237412207,0.055644,0.8758312282988048,0.944356,0.9574980118706103,0.8888318203471655,0.3561303846637912,0.8567231506558959,0.3948411290653284,0.6850007328172526
axis2_stable,30,2017->2018,45,0.999525053431489,0.9998080199659235,0.9996665366987063,0.9997265658378194,0.9992679790285884,8.8e-05,0.9997822601397494,0.999912,0.9995899895142942,0.9993331386232106,0.6191043222302579,0.5663398427154271,0.5927220824728425,0.594431044694128,0.47531214579122616,0.136112,0.8876322124513336,0.863888,0.6696000728956131,0.323686054053294,0.13842043418038114,0.4861673077487741,0.3122938709645776,0.3562544680026633,0.07457194339379086,0.006556,0.962589304056059,0.993444,0.5340079716968954,0.139086971787559,0.9287113719180351,0.9693116303705666,0.9490115011443008,0.9570936227178216,0.9706499159165101,0.048388,0.8902467791689349,0.951612,0.961130957958255,0.899822437084819,0.3804207312012311,0.8611046192511078,0.4069444542258638,0.6873726657341287
axis2_stable,30,2017->2018,46,0.9994755850195419,0.9997880211978802,0.999631803108711,0.9996980831125922,0.999228410327431,0.000112,0.9997228820269201,0.999888,0.9995582051637155,0.9992636665191552,0.6191681578143412,0.5638996880375828,0.591533922925962,0.5934034807196872,0.4766454296126934,0.14248,0.883279320254413,0.85752,0.6670827148063467,0.31838282316286637,0.13910778376321298,0.4861789636719293,0.3126433737175711,0.3564555664415754,0.0749786480077663,0.00682,0.9613440043530506,0.99318,0.5340793240038831,0.13893696951184106,0.9186440677966101,0.9656941548055313,0.9421691113010707,0.9517388703751175,0.9463151647047185,0.046068,0.8925452509796604,0.953932,0.9501235823523593,0.8851445209247885,0.3803074272052007,0.860367801256329,0.40809788018274906,0.6869884293911399
axis2_stable,30,2018->2017,42,0.9997108198478399,0.9993463385966069,0.9995285792222235,0.9995990293321693,0.9994818936874139,0.000136,0.9999398509009981,0.999864,0.9996729468437069,0.999057437131082,0.1992910454407809,0.8475984146519252,0.5234447300463531,0.7439346036628784,0.11067365713720446,0.0,1.0,1.0,0.5553368285686022,0.2853088707986345,0.45574097587520407,0.8736338941649645,0.6646874350200843,0.7948901990942493,0.2982490849737857,0.004288,0.9656652360515021,0.995712,0.6469805424868929,0.4676255016569049,0.00013791640144281773,0.4692711843090733,0.23470455035525806,0.30660032053129227,6.896295628279057e-05,0.0,1.0,1.0,0.5000344814781414,0.004598018876386641,0.800419774407059,0.5439698439726359,0.47608384917587043,0.3348411442021392
axis2_stable,30,2018->2017,43,0.9997072809227637,0.9993383506741427,0.9995228157984533,0.9995941244921958,0.9994730522827623,0.000132,0.9999416193724613,0.999868,0.9996705261413812,0.9990459233393921,0.17325936500478867,0.8453056794397991,0.5092825222222939,0.7393773676265345,0.09484617667425067,0.0,1.0,1.0,0.5474230883371254,0.2635016220794767,0.5059669689543078,0.8796949739052513,0.6928309714297796,0.8065083027144038,0.3441191017904837,0.00652,0.9552406842957959,0.99348,0.6687995508952419,0.5013529350120575,0.00013791640144281773,0.4692711843090733,0.23470455035525806,0.30660032053129227,6.896295628279057e-05,0.0,1.0,1.0,0.5000344814781414,0.004598018876386641,0.8264479159179751,0.4937403119684559,0.4902402935761594,0.3066918443686737
axis2_stable,30,2018->2017,44,0.9996957889765952,0.9993123410788249,0.99950406502771,0.999578183762282,0.9994765888446229,0.000192,0.9999150852773793,0.999808,0.9996422944223115,0.9990083855715802,0.0,0.8318221896887321,0.41591109484436606,0.7120681306787433,0.0,0.0,0.0,1.0,0.5,0.0,0.4622602043865416,0.873338072480803,0.6677991384336723,0.7949699507248854,0.30606390345236917,0.007336,0.9440410081161896,0.992664,0.6493639517261846,0.4649496599657515,0.0,0.46925400813311047,0.23462700406655523,0.30655249834155096,0.0,0.0,0.0,1.0,0.5,0.0,0.9996957889765952,0.5374355845900536,0.583592970183344,0.3317049265940377
axis2_stable,30,2018->2017,45,0.9997028652281571,0.9993283250906562,0.9995155951594066,0.9995879934422289,0.9994889668111352,0.000188,0.9999168552166275,0.999812,0.9996504834055676,0.9990314336273273,0.0006724417546774258,0.8318692434648353,0.41627084260975633,0.7121649719445157,0.0003363339598377683,0.0,1.0,1.0,0.5001681669799188,0.015476300885138251,0.42065983442587634,0.8684079914995946,0.6445339129627354,0.7855307755846079,0.27042239588485506,0.00618,0.9465064746208711,0.99382,0.6321211979424275,0.4354565321371724,0.00015206059791641617,0.46927294603924247,0.23471250331857943,0.3066052253712657,7.603608000410241e-05,0.0,1.0,1.0,0.500038018040002,0.00482807201387352,0.9990304234734797,0.5790430308022807,0.5832447525496502,0.35498168219667114
axis2_stable,30,2018->2017,46,0.9997187796806822,0.9993643254653617,0.999541552573022,0.9996100652221096,0.9994925033729959,0.000124,0.9999451584654985,0.999876,0.9996842516864979,0.9990833774198902,0.06307600927362955,0.8364029320941188,0.44973947068387415,0.721444643823521,0.03256504105252745,0.0,1.0,1.0,0.5162825205262638,0.152996775958157,0.45303925548389035,0.8721611374074504,0.6626001964456704,0.7927596912472585,0.2980809179938669,0.007212,0.9435433366733467,0.992788,0.6454344589969334,0.4580163824653618,0.0,0.46925400813311047,0.23462700406655523,0.30655249834155096,0.0,0.0,0.0,1.0,0.5,0.0,0.9366427704070527,0.5466795241967919,0.5498020818891478,0.33694135612735165
random,30,2017->2018,42,0.9968825531495092,0.9987346080688758,0.9978085806091925,0.9981998917656442,0.9995944208131368,0.002364,0.994185360094451,0.997636,0.9986152104065684,0.9956244164493925,0.0005231262448548943,0.46908928073540224,0.23480620349012857,0.3065377838216306,0.00026170557768853854,0.00064,0.4805194805194805,0.99936,0.4998108527888443,-0.008976631639050173,0.05449570740081449,0.47308526270261597,0.2637904850517152,0.32329026475099965,0.028122739915935925,0.009016,0.8758673862760216,0.990984,0.509553369957968,0.059706129569354026,0.023624796337962602,0.831945622199817,0.4277852092688898,0.7132473155031473,0.012048669502423583,0.003216,0.6023738872403561,0.996784,0.5044163347512118,0.05285310285722959,0.9963594269046544,0.9423868457486948,0.7630023771190639,0.7340180955574773
random,30,2017->2018,43,0.9984826843143166,0.9993858145159839,0.9989342494151503,0.9991255803355265,0.999228410327431,0.000916,0.9977380705445422,0.999084,0.9991562051637155,0.9978690477036873,0.0002984243501963601,0.3374996559496249,0.1688990401499106,0.20310206604121783,0.0001715232502418124,0.337852,0.0011471144749290445,0.662148,0.3311597616251209,-0.5107057349401992,0.05086397264158239,0.4735606503249814,0.2622123114832819,0.322755637193892,0.026168789487923526,0.00634,0.90325927734375,0.99366,0.5099143947439617,0.06515833611689852,0.022775314691985963,0.6130806712297994,0.3179279929608927,0.4456492637215529,0.022435453556237016,0.38322,0.023125630907589245,0.61678,0.3196077267781185,-0.36410148352887745,0.9981842599641203,0.9476187116727343,0.8300352092652397,0.7367219379318684
random,30,2017->2018,44,0.9994460601024788,0.9997759964159426,0.9996110282592108,0.9996809934774559,0.999485606884954,0.00024,0.9994065164493857,0.99976,0.999622803442477,0.9992220580615805,0.11631400489291385,0.4778789545757792,0.29709647973434655,0.3435926236111639,0.062296537175454136,0.020092,0.8752142697438701,0.979908,0.5211022685877271,0.08983146014399462,0.046995869611254494,0.47295008212525885,0.2599729758682567,0.3212670182619454,0.02413349813711604,0.006592,0.8922594142259415,0.993408,0.508770749068558,0.05961644284543169,0.6979680713837706,0.9042646170697216,0.8011163442267462,0.8546127773505369,0.5834306063903453,0.035732,0.8684621274590647,0.964268,0.7738493031951726,0.627859866161615,0.883132055209565,0.9524501904912244,0.7025145485248643,0.739638052390954
