feature,pooled_c2st,pooled_c2st_calibrated,benign_c2st,attack_c2st,benign_c2st_calibrated,attack_c2st_calibrated,dominant_slice,dominant_c2st,c2st_Botnet,c2st_BruteForce,c2st_DDoS,c2st_DoS,c2st_Infiltration,c2st_WebAttack,c2st_calibrated_Botnet,c2st_calibrated_BruteForce,c2st_calibrated_DDoS,c2st_calibrated_DoS,c2st_calibrated_Infiltration,c2st_calibrated_WebAttack
Flow IAT Min,0.806610625,0.5994863132211719,0.8471018750000001,0.9154068750000001,0.6837613808779486,0.8240194923473273,DoS,0.9782,0.9365832873690018,0.8383118750000002,0.7883662499999999,0.9782,0.9306887500000001,0.7358992719894976,0.8643362138720222,0.6626959719375949,0.5679814186600304,0.9535079304937167,0.8507661772315065,0.36554763100900434
Fwd IAT Total,0.778018125,0.5383079709430632,0.79682875,0.88943125,0.5775844220744693,0.7652563236265532,BruteForce,1.0,0.996662759698474,1.0,0.95948125,0.84971625,0.888114375,0.9454791741257906,0.9930154512783239,1.0,0.9165286550499243,0.6904846515633958,0.7704527020909214,0.8645298160618179
Fwd IAT Mean,0.7990768749999999,0.5833034160197927,0.8096518749999999,0.8675525000000001,0.6094675872529817,0.7280717333268921,BruteForce,1.0,0.9656799273763561,1.0,0.9674043749999999,0.800080625,0.888590625,0.9565789473684211,0.9265528260785769,1.0,0.9309358818966281,0.575617260064749,0.7735968960992741,0.9024758834980432
Fwd IAT Std,0.651348125,0.26630762771436034,0.6935718749999998,0.9089012500000001,0.3663492246323711,0.8131153378311342,BruteForce,1.0,0.9920857809339954,1.0,0.9620518749999999,0.8684331249999999,0.5387118750000001,0.9043522496717985,0.9833651128625869,1.0,0.921734109919898,0.7250541459438025,0.07188465309285616,0.7809587630271004
Fwd IAT Max,0.792274375,0.5767948883831777,0.8188431250000001,0.9092656250000001,0.6174635441286981,0.8106483238614968,BruteForce,1.0,0.9953252665931238,1.0,0.95438625,0.90366375,0.8872225,0.9124349564387157,0.9901721824110101,1.0,0.9054877380851492,0.8016796651860879,0.7670957425661962,0.781604187294414
Fwd IAT Min,0.7981456250000001,0.5811428350000737,0.7564018750000001,0.9630056250000001,0.49564144127505844,0.92268902505028,DoS,0.9857306250000001,0.849792746828461,0.9107637499999999,0.9433737499999999,0.9857306250000001,0.899244375,0.9479296455424274,0.6775793909872435,0.816932934821399,0.8778420797515109,0.9703071237913677,0.7914705735980427,0.874246748585617
Bwd IAT Mean,0.7559925000000001,0.49074044644189513,0.822459375,0.8175100000000001,0.6339427958714237,0.6220366807498114,BruteForce,1.0,0.9776002711895568,1.0,0.8509381250000001,0.759733125,0.7016512500000001,0.9671479293471776,0.952913136368734,1.0,0.6856137362138213,0.4981379539006071,0.3874670063916828,0.9236765316828163
Bwd IAT Total,0.72238,0.418993641923907,0.8004849999999999,0.837725625,0.5887553434371722,0.6625172763870782,BruteForce,1.0,0.9919628952932525,1.0,0.8211393749999999,0.8313218750000001,0.6922218750000001,0.9549883637665593,0.9828114343639075,1.0,0.6278871384233846,0.6508448670999415,0.36452103462785573,0.8927667022553675
Fwd PSH Flags,0.5938593749999999,0.16448791752363112,0.618595,0.7319425,0.21187610491362696,0.4390012285890078,BruteForce,0.7959999999999999,0.5,0.7959999999999999,0.5015000000000001,0.5003074999999999,0.5284125000000002,0.4599606158252775,0.0,0.5764400844931483,-0.00033330222531159436,-0.02486393869637924,0.04387625208625382,-0.21371347467773544
Bwd IAT Std,0.6455693750000001,0.25839676469478107,0.6594875,0.875605625,0.2921192997382852,0.7413128859545978,BruteForce,1.0,0.9909102891156462,1.0,0.820138125,0.88354375,0.54100375,0.9336648168039146,0.9805404575397214,1.0,0.63231698894408,0.7573681998088629,0.07223721116948696,0.8498088672978972
