feature,benign_shift,attack_shift,max_attack_shift,mean_attack_shift,shift_by_family,dominant_driver,benign_c2st,attack_c2st,pooled_c2st,benign_c2st_calibrated,attack_c2st_calibrated,pooled_c2st_calibrated,benign_c2st_null,attack_c2st_null,pooled_c2st_null
Fwd IAT Max,0.6174635441286981,0.8106483238614968,1.0,0.8743399192571429,"{'Botnet': 0.9901721824110101, 'BruteForce': 1.0, 'DDoS': 0.9054877380851492, 'DoS': 0.8016796651860879, 'Infiltration': 0.7670957425661962, 'WebAttack': 0.781604187294414}",attack,0.8188431250000001,0.9092656250000001,0.792274375,0.6174635441286981,0.8106483238614968,0.5767948883831777,0.5264323903786385,0.5208155699998593,0.5091608789733177
Fwd IAT Min,0.49564144127505844,0.92268902505028,0.9703071237913677,0.8347298085891969,"{'Botnet': 0.6775793909872435, 'BruteForce': 0.816932934821399, 'DDoS': 0.8778420797515109, 'DoS': 0.9703071237913677, 'Infiltration': 0.7914705735980427, 'WebAttack': 0.874246748585617}",attack,0.7564018750000001,0.9630056250000001,0.7981456250000001,0.49564144127505844,0.92268902505028,0.5811428350000737,0.5170139957259072,0.5214861146938115,0.5180830319566446
Bwd IAT Mean,0.6339427958714237,0.6220366807498114,1.0,0.7413013940929436,"{'Botnet': 0.952913136368734, 'BruteForce': 1.0, 'DDoS': 0.6856137362138213, 'DoS': 0.4981379539006071, 'Infiltration': 0.3874670063916828, 'WebAttack': 0.9236765316828163}",benign,0.822459375,0.8175100000000001,0.7559925000000001,0.6339427958714237,0.6220366807498114,0.49074044644189513,0.5149921296518468,0.5171753693929152,0.5208582768940446
Bwd IAT Total,0.5887553434371722,0.6625172763870782,1.0,0.7531385294617428,"{'Botnet': 0.9828114343639075, 'BruteForce': 1.0, 'DDoS': 0.6278871384233846, 'DoS': 0.6508448670999415, 'Infiltration': 0.36452103462785573, 'WebAttack': 0.8927667022553675}",attack,0.8004849999999999,0.837725625,0.72238,0.5887553434371722,0.6625172763870782,0.418993641923907,0.5148508392363288,0.5191624233004539,0.5221739037085705
Fwd PSH Flags,0.21187610491362696,0.4390012285890078,0.5764400844931483,0.06356760349666264,"{'Botnet': 0.0, 'BruteForce': 0.5764400844931483, 'DDoS': -0.00033330222531159436, 'DoS': -0.02486393869637924, 'Infiltration': 0.04387625208625382, 'WebAttack': -0.21371347467773544}",attack,0.618595,0.7319425,0.5938593749999999,0.21187610491362696,0.4390012285890078,0.16448791752363112,0.5160595911659288,0.5221780979559064,0.5139021523228694
Bwd IAT Std,0.2921192997382852,0.7413128859545978,1.0,0.7153786207933415,"{'Botnet': 0.9805404575397214, 'BruteForce': 1.0, 'DDoS': 0.63231698894408, 'DoS': 0.7573681998088629, 'Infiltration': 0.07223721116948696, 'WebAttack': 0.8498088672978972}",attack,0.6594875,0.875605625,0.6455693750000001,0.2921192997382852,0.7413128859545978,0.25839676469478107,0.5189690863529588,0.5191319232926017,0.5220751365059402
Fwd URG Flags,0.0,0.0,0.0,-0.00010243434839180953,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.0, 'DoS': 0.0, 'Infiltration': -0.0006146060903508572, 'WebAttack': 0.0}",attack,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
Bwd IAT Max,0.6335893861715663,0.7483277329331912,1.0,0.7732048506916679,"{'Botnet': 0.9842437029500894, 'BruteForce': 1.0, 'DDoS': 0.6175229879169758, 'DoS': 0.8294903955270956, 'Infiltration': 0.38786965399513224, 'WebAttack': 0.8201023637607144}",attack,0.82295,0.8804137500000001,0.7768118749999999,0.6335893861715663,0.7483277329331912,0.5428321152603912,0.5167989318046854,0.5248334216806869,0.5118027043235499
Bwd IAT Min,0.7379956613544277,0.8959491140872257,0.9778445775375058,0.8376899551292957,"{'Botnet': 0.9773103633223774, 'BruteForce': 0.9778445775375058, 'DDoS': 0.9741296725952033, 'DoS': 0.8865867401570693, 'Infiltration': 0.36765423632499267, 'WebAttack': 0.8426141408386252}",attack,0.8739849999999999,0.9507637499999999,0.8502168749999999,0.7379956613544277,0.8959491140872257,0.6857296785016558,0.5190346822062838,0.5268060471750838,0.5233939867885703
Bwd URG Flags,0.0,0.0,0.0,0.0,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.0, 'DoS': 0.0, 'Infiltration': 0.0, 'WebAttack': 0.0}",attack,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
Bwd PSH Flags,0.192887286004116,0.4485283105154764,0.8982810519027912,0.22153723792947125,"{'Botnet': 0.8982810519027912, 'BruteForce': 0.567535230351846, 'DDoS': 0.0344113759829556, 'DoS': 0.013992563456257526, 'Infiltration': 0.03584993330629518, 'WebAttack': -0.220846727423318}",attack,0.617265,0.7355056249999999,0.6214575000000001,0.192887286004116,0.4485283105154764,0.21788943007929892,0.5257973349160352,0.52038449109286,0.5159987416633678
Bwd RST Flags,0.10661698896513946,0.3579218147153055,0.7428094765280503,0.2138358600089966,"{'Botnet': 0.0, 'BruteForce': 0.5349371325633177, 'DDoS': 0.0, 'DoS': 0.005268550962611744, 'Infiltration': 0.7428094765280503, 'WebAttack': 0.0}",attack,0.566356875,0.685251875,0.5250462499999999,0.10661698896513946,0.3579218147153055,0.02538732346352671,0.5146055838943204,0.509797821801963,0.5126743562500485
Fwd RST Flags,0.16463763379936383,0.44182057085782633,0.9293311814097402,0.27881851829885246,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.7575536276504801, 'DoS': 0.9293311814097402, 'Infiltration': -0.00019871079638972934, 'WebAttack': -0.013774988470715592}",attack,0.5958406250000001,0.7312675000000001,0.56964125,0.16463763379936383,0.44182057085782633,0.11634780053412658,0.5161867575646454,0.518555349821838,0.5129772208340206
Bwd Header Length,0.5524045048238979,0.8682677261743582,0.9980912042000206,0.8377218610773408,"{'Botnet': 0.8887396849098, 'BruteForce': 0.9980912042000206, 'DDoS': 0.5527163201470987, 'DoS': 0.842331648031268, 'Infiltration': 0.7848540967198093, 'WebAttack': 0.9595982124560479}",attack,0.786176875,0.9392643749999999,0.7834118749999999,0.5524045048238979,0.8682677261743582,0.5460388108420555,0.5222849038820792,0.5389465069100033,0.5228928591852734
Fwd Header Length,0.5335760336670837,0.9616569813919633,0.9999649756305632,0.779201737005219,"{'Botnet': 0.13112508602174805, 'BruteForce': 0.8912886594798224, 'DDoS': 0.9999649756305632, 'DoS': 0.9183666932269724, 'Infiltration': 0.7788090837377658, 'WebAttack': 0.9556559239344412}",attack,0.773625625,0.981855625,0.7799862500000001,0.5335760336670837,0.9616569813919633,0.5314918523348232,0.5146596415707715,0.5267880396824857,0.530395039880428
Fwd Packets/s,0.6401619346639943,0.7315636328553696,1.0,0.8787873803698952,"{'Botnet': 0.9566745464302555, 'BruteForce': 1.0, 'DDoS': 0.925179633103622, 'DoS': 0.5744735408695454, 'Infiltration': 0.9460932121053912, 'WebAttack': 0.8703033497105577}",attack,0.8239812500000001,0.87384625,,0.6401619346639943,0.7315636328553696,,0.5108389941024194,0.5300422541777665,
Bwd Packets/s,0.6202054888254501,0.7334083994946866,1.0,0.8701136450415263,"{'Botnet': 0.9458430730154724, 'BruteForce': 1.0, 'DDoS': 0.9044214768226214, 'DoS': 0.5077749938510372, 'Infiltration': 0.9581021115421423, 'WebAttack': 0.9045402150178854}",attack,0.8173375,0.8718600000000001,0.8222368750000001,0.6202054888254501,0.7334083994946866,0.6260377251222005,0.519049131502456,0.519339695034968,0.524649578468609
FIN Flag Count,0.12007995265514297,0.7225508424454349,0.6621875865886804,0.19559279623166415,"{'Botnet': 0.0, 'BruteForce': -0.0005214200501042074, 'DDoS': 0.4856160249258812, 'DoS': 0.6621875865886804, 'Infiltration': 0.03945431470158648, 'WebAttack': -0.013179728776058924}",attack,0.5809737500000001,0.8654093749999999,0.51435125,0.12007995265514297,0.7225508424454349,-0.018940928923361296,0.5237905406696846,0.5148998606221015,0.5233788964457943
Packet Length Min,0.2032428838142125,-0.0016912348406629477,0.004959059079197702,0.000422058082296778,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': -0.002426710585417034, 'DoS': 0.0, 'Infiltration': 0.004959059079197702, 'WebAttack': 0.0}",benign,0.624244375,0.5,0.5687506250000001,0.2032428838142125,-0.0016912348406629477,0.09438576754065599,0.5283937634610577,0.5008441896973033,0.523804552155865
Packet Length Mean,0.30289128973178164,0.9837998818254671,1.0,0.8263517064124818,"{'Botnet': 1.0, 'BruteForce': 0.9946965534237361, 'DDoS': 1.0, 'DoS': 0.9943232308360702, 'Infiltration': 0.05232137291007614, 'WebAttack': 0.9167690813050087}",attack,0.67445375,0.9922343750000001,0.716889375,0.30289128973178164,0.9837998818254671,0.4010737163064774,0.5330050461215103,0.5206439288691304,0.527303054302304
