feature,verdict,detected_type,route,c2st_auc,c2st_auc_ci_low,c2st_auc_ci_high,c2st_auc_ci_width,c2st_null_pooled,c2st_calibrated_pooled,c2st_null_benign,c2st_calibrated_benign,c2st_null_attack,c2st_calibrated_attack,c2st_shifted,e1_agreement_rate,wasserstein_qn_null,wasserstein_qn_calibrated,jensen_shannon_null,jensen_shannon_calibrated,mmd_null,mmd_calibrated,energy_distance_null,energy_distance_calibrated,ks_statistic_null,ks_statistic_calibrated,anderson_darling_null,anderson_darling_calibrated,marginal_shift_magnitude,separation_stability,sep_2017,sep_2018,dir_2017,dir_2018,wasserstein_qn,mmd,energy_distance,anderson_darling,ks_statistic,n_modes_2017,n_modes_2018,modality_mismatch,recommended_scale,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,cardinality,variance_2017,variance_2018,flip_detected,collapse_detected
Fwd IAT Mean,shifted,continuous,continuous_multimodal,0.7990768749999999,0.7806605788929643,0.8174931711070356,0.036832592214071314,0.5178191213356724,0.5833034160197927,0.5125932732162105,0.6094675872529817,0.5129322095844543,0.7280717333268921,True,1.0,0.044964582582912915,0.9534161895254883,,,0.000744386682365271,10.0,0.017784851462865764,0.6737335096760357,0.013304999999999997,10.0,2.030978132440954,10.0,0.5000199521149242,0.0856198803287025,0.5247961661480467,0.5864322876530916,0.0,-1.0,0.08783454357271789,0.0364725985779244,0.029767101858009293,368.931793376674,0.1915,4,4,False,symlog,0.32555981500905073,620916.250454383,0.6407155518889005,shape_change,-1.0,37115.5,-201110.33035714284,p75,54354,95330119770371.25,17742491919713.766,False,False
Fwd IAT Std,restructured,continuous,structural_change,0.651348125,0.6322552633993357,0.6704409866006642,0.038185723201328514,0.5247982830816952,0.26630762771436034,0.5164085062119305,0.3663492246323711,0.5125402537438593,0.8131153378311342,True,1.0,0.12129161567807838,0.514916811078044,,,0.00034030149483650326,10.0,0.0801018538134535,0.5332452033499402,0.017894999999999998,7.426934898016206,2.533361202967152,10.0,0.1353647000690737,0.06009841338058885,0.528943945466213,0.5258313268094875,0.0,0.0,0.18374670763353818,0.013473550688139824,0.1228157831389157,361.8718156765652,0.1508,2,4,True,symlog,1.4653867097902942,100073.99351934163,0.7985853111399741,shape_change,0.0,17536.15856345693,-223474.25375601574,p75,50987,18114083971874.23,32397060386994.19,False,False
Fwd IAT Max,shifted,continuous,continuous_multimodal,0.792274375,0.782496706237533,0.802052043762467,0.01955533752493399,0.5091608789733177,0.5767948883831777,0.5264323903786385,0.6174635441286981,0.5208155699998593,0.8106483238614968,True,1.0,0.045031764183820926,0.7608423322147378,,,0.0011150901463075709,10.0,0.014577299924981196,0.4677050872583897,0.01737499999999999,10.0,1.9807987673072263,10.0,0.5000165793487632,0.11846977537325094,0.5178044189977654,0.5642900384526153,0.0,-1.0,0.07929383666918334,0.021523415611422125,0.021395177258386244,318.7142023459069,0.1938,4,4,False,symlog,1.0471532199905904,471939.25726103655,0.8336642819585972,shape_change,-1.0,77769.0,-2361131.5,p75,50506,208524193654730.3,211557146762583.97,False,False
Fwd IAT Min,flipped,continuous,continuous_multimodal,0.7981456250000001,0.7758815172892299,0.8204097327107702,0.044528215421540285,0.5180830319566446,0.5811428350000737,0.5170139957259072,0.49564144127505844,0.5214861146938115,0.92268902505028,True,1.0,0.058884857314286554,1.234757042279881,,,0.0010494106839220568,10.0,0.021397813753438348,0.9230860146901481,0.014639999999999999,10.0,1.9684726812503968,10.0,0.42752618629966693,-0.09261540452726211,0.6576743862661925,0.6389457817014839,-1.0,1.0,0.13159334956674784,0.0505680029245168,0.04114983637418179,643.0988590672006,0.252,4,4,False,symlog,0.015773452724653005,7543.652662382353,0.941906610234788,shape_change,-1.0,15.0,234.0,p75,13106,90389819767488.97,8461710331956.064,True,False
Bwd IAT Mean,restructured,continuous,structural_change,0.7559925000000001,0.7385383204021843,0.7734466795978159,0.03490835919563162,0.5208582768940446,0.49074044644189513,0.5149921296518468,0.6339427958714237,0.5171753693929152,0.6220366807498114,True,1.0,0.05350325161625809,0.7761733069389674,,,0.00039545702689003284,10.0,0.02258030047511879,0.14602679741404137,0.021449999999999997,6.878787878787881,2.5016781594748005,10.0,0.19354636203181022,0.16662336383769047,0.5742115202557717,0.5424769313447648,-1.0,0.0,0.09503104735523678,0.015087837057004005,0.025877629438147143,365.0596184707732,0.169,3,4,True,symlog,0.5316550222475336,897633.1669334746,0.7508326894380145,shape_change,-1.0,23328.5,386093.1911449753,p75,49328,94747266664338.31,42205381497277.83,False,False
Bwd IAT Total,shifted,continuous,continuous_multimodal,0.72238,0.7170388228901151,0.7277211771098849,0.010682354219769818,0.5221739037085705,0.418993641923907,0.5148508392363288,0.5887553434371722,0.5191624233004539,0.6625172763870782,True,1.0,0.0527125196975985,0.6672369434334783,,,0.0008693828670528481,10.0,0.025964124331082784,0.12457761461687698,0.019739999999999994,7.779128672745698,3.2372012524682257,10.0,0.23187880235170708,0.1855293468164476,0.5790281211364164,0.5307770822302074,-1.0,0.0,0.08788426022130114,0.014907670887948976,0.029198673005865095,341.4082870825009,0.1733,4,4,False,symlog,1.1031160196274217,4506833.38822842,0.8473015883237287,shape_change,-1.0,73722.5,2595857.25,p75,49295,941550339691939.9,1329456869952825.5,False,False
Fwd PSH Flags,shifted,continuous,continuous_multimodal,0.5938593749999999,0.5714083026141894,0.6163104473858103,0.04490214477162091,0.5139021523228694,0.16448791752363112,0.5160595911659288,0.21187610491362696,0.5221780979559064,0.4390012285890078,True,1.0,0.16712516207081038,0.5811276175103208,,,0.0007009243229673331,10.0,0.11886807931982996,0.635503819788369,0.016309999999999988,10.0,1.2124082978668114,10.0,0.33547334832854675,0.09908086577221312,0.5392480433703429,0.5694799723372064,0.0,1.0,0.26424620933104664,0.041773179691349416,0.19440919777848872,780.6936056922553,0.2022,4,4,False,symlog,0.9139997968099159,1.0234345897253552,0.7401703527364745,shape_change,0.0,1.0,4.0,p75,85,71.33130968255252,48.59929328532425,False,False
Bwd IAT Std,restructured,continuous,structural_change,0.6455693750000001,0.6412694547331931,0.6498692952668071,0.008599840533614067,0.5220751365059402,0.25839676469478107,0.5189690863529588,0.2921192997382852,0.5191319232926017,0.7413128859545978,True,1.0,0.14288741574707875,0.5165176703875294,,,0.00029759135331104355,10.0,0.1079414035508877,0.39619837296270344,0.01835499999999999,7.678834105148466,2.9701333419656097,10.0,0.1475431884297797,0.10020216548412043,0.5349020617662137,0.5165757893109723,0.0,0.0,0.21669129085645425,0.014102276836549521,0.15070761201306,451.92159141833446,0.1593,3,4,True,symlog,1.9931274729293684,931529.0757330251,0.6794904002824451,shape_change,0.0,354.97957392570754,362109.75028697005,p75,46749,20467126156420.52,60590084073952.47,False,False
Fwd URG Flags,weak,low-cardinality-discrete,nominal,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,False,0.0,,,0.0,10.0,,,,,,,,,0.003385967136072697,1.488212578221045e-06,0.5001614380905103,0.5009207980471755,0.0,0.0,,,,,,1,1,False,categorical,,,,identical,0.0,0.0,0.0,none,2,0.0026856760102659063,0.0005588040840572558,False,False
Bwd IAT Max,shifted,continuous,continuous_multimodal,0.7768118749999999,0.7594526398384562,0.7941711101615436,0.03471847032308739,0.5118027043235499,0.5428321152603912,0.5167989318046854,0.6335893861715663,0.5248334216806869,0.7483277329331912,True,0.8,0.05246556750283753,0.6696272195084964,,,0.0004632299138245253,10.0,0.022833782995748914,0.0,0.019679999999999996,6.926829268292684,2.171025135852724,10.0,0.5000186978796605,0.18568511875729007,0.5748262117946669,0.5318203305437426,-1.0,0.0,0.08759793958969796,0.010699172165736792,0.019123385976929863,331.94074196629805,0.156,4,4,False,symlog,1.6059197768963982,2828312.0594586297,0.7231634870689836,shape_change,-1.0,45036.5,826232.5,p75,45146,199040147611960.38,514454624221711.6,False,False
