feature,verdict,detected_type,route,c2st_auc,c2st_auc_ci_low,c2st_auc_ci_high,c2st_auc_ci_width,c2st_null_pooled,c2st_calibrated_pooled,c2st_null_benign,c2st_calibrated_benign,c2st_null_attack,c2st_calibrated_attack,c2st_shifted,e1_agreement_rate,wasserstein_qn_null,wasserstein_qn_calibrated,jensen_shannon_null,jensen_shannon_calibrated,mmd_null,mmd_calibrated,energy_distance_null,energy_distance_calibrated,ks_statistic_null,ks_statistic_calibrated,anderson_darling_null,anderson_darling_calibrated,marginal_shift_magnitude,separation_stability,sep_2017,sep_2018,dir_2017,dir_2018,wasserstein_qn,mmd,energy_distance,anderson_darling,ks_statistic,n_modes_2017,n_modes_2018,modality_mismatch,recommended_scale,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,cardinality,variance_2017,variance_2018,flip_detected,collapse_detected
Active Mean,shifted,continuous,continuous_multimodal,0.53498125,0.5233231592518258,0.5466393407481741,0.023316181496348287,0.5199467351750434,0.03131843052965931,0.5128035654696865,0.09571382552351596,0.5119611031970663,0.0792511561195321,True,0.6,0.3039900718153591,0.022062894453927822,,,0.0008430670368117616,0.0,0.33809926916729177,0.0,0.015659999999999997,2.2694763729246494,1.8518250200562973,8.460396518767777,0.4921213837107164,0.012689282396616649,0.5364342701451194,0.5870696897870786,0.0,-1.0,0.3106969726848633,0.00024483544701681126,0.3130143212266063,17.518998973107664,0.0512,4,4,False,symlog,2.206127080277037,71835.8300438632,0.7519706581420151,shape_change,0.0,0.0,0.0,none,21571,614804989502.3347,2391337071199.402,False,False
Active Std,stable,continuous,structural_change,0.504680625,0.4927170080339893,0.5166442419660107,0.02392723393202134,0.5076786934483309,-0.006089658132673772,0.5198806252067949,-0.022011453321055204,0.5033515260560653,0.005322625725480695,False,0.2,0.3995999283446417,0.011835295170114673,,,0.00023379796013240893,0.0,0.47775610357589404,0.02287103852620753,0.009384999999999998,0.779435269046351,3.5007098909716277,4.742311902277927,0.06033463107315536,0.013981388168389465,0.5589544383703363,0.5592889549746961,-1.0,-1.0,0.4043293114465572,0.00020302504875391314,0.4886828818269091,20.10216807334844,0.0167,4,3,True,symlog,0.8181524496665852,249.4276117047773,0.9980791476938718,scale_change,0.0,0.0,0.0,none,10787,223216376539.75632,323842579431.5756,False,False
Active Max,restructured,continuous,structural_change,0.5384881250000001,0.5275174318174127,0.5494588181825875,0.02194138636517473,0.5130409001944386,0.052257417133640904,0.5243121756404365,0.048061350719547674,0.5108206422449688,0.09464572047256418,True,1.0,0.3049419078695393,0.01325036158913717,,,0.00021690829288980516,0.4673015364068019,0.3162614519629907,0.019259414075014587,0.012149999999999998,2.6790123456790127,4.48387624052951,2.383478373791669,0.10962120310601552,0.014344366214351504,0.5408598167475875,0.5877657277745771,0.0,-1.0,0.30898249841249203,0.0003182698714165877,0.3223524622223113,15.171098290589887,0.0447,4,2,True,symlog,1.3769094306194172,95226.89959936168,0.8000280474248848,shape_change,0.0,0.0,0.0,none,21503,1486532802986.5872,3493627364718.9717,False,False
Active Min,shifted,continuous,continuous_multimodal,0.5931206249999998,0.5798586637649487,0.606382586235051,0.02652392247010238,0.5186547169070611,0.15470372455807518,0.5174988278551735,0.17522480156680184,0.5099588512626566,0.09626466850568088,True,0.6,0.30415261152305756,0.01637173198214614,,,0.0003161153050913023,0.0,0.3365852688672167,0.0,0.014819999999999998,2.6504723346828616,3.1872700560027547,6.068087027565715,0.48610216259255046,0.01899040134138074,0.5342311993572073,0.5867743511398691,0.0,-1.0,0.30913211656058287,0.0,0.3126030605253026,22.527902136181723,0.0541,4,4,False,symlog,3.3129319940875512,66972.98271594179,0.708934014505547,shape_change,0.0,0.0,0.0,none,18717,490800208726.2751,2182594857286.7146,False,False
Idle Min,shifted,continuous,continuous_multimodal,0.5553418750000001,0.5436496162634816,0.5670341337365186,0.023384517473036937,0.5146256464825982,0.0838862379570331,0.5104874416820195,0.09679921896344962,0.5096108264394716,0.15132710418895245,True,0.6,0.30233053691268463,0.014827634680940125,,,0.00038648148114888125,0.0,0.3250153585396349,0.0,0.014239999999999987,3.157303370786521,2.4752374499717416,10.0,0.4879006645033783,0.017250449710042994,0.5434536305072251,0.5902527724124687,0.0,-1.0,0.3068133836669184,0.0,0.3131028003615016,29.99486481005317,0.0592,4,4,False,symlog,1.6324327514809622,2021121.039992061,0.7353104258043226,shape_change,0.0,0.0,0.0,none,21825,186002605582448.88,483291614779104.3,False,False
Idle Mean,shifted,continuous,continuous_multimodal,0.570485,0.5551228757543663,0.5858471242456338,0.030724248491267536,0.5170240543439788,0.11069070030683573,0.5159723391766345,0.15008343882618583,0.5099199820146185,0.12224920581677046,True,0.6,0.3035460294101471,0.03065366284668403,,,0.00043735917552360987,0.0,0.3348021658414602,0.0,0.013259999999999996,4.407239819004527,2.722935995426808,10.0,0.49657118100318076,0.019110796767114555,0.546179875632131,0.5909558993238602,0.0,-1.0,0.31285082705413536,0.0001178913148578431,0.3131071032480163,36.07971025797918,0.0717,4,4,False,symlog,1.6474164213726146,2071672.3063091638,0.7620240539940696,shape_change,0.0,0.0,0.0,none,22273,193020798730733.28,493446002481297.5,False,False
ICMP Code,weak,low-cardinality-discrete,nominal,0.5,0.5,0.5,0.0,0.5,0.0,0.5016193521252029,-0.0022459783099045613,0.5,0.0,False,0.0,,,0.013771135543862703,0.5577309950396153,,,,,,,,,0.021451724673566663,0.0005707884488350536,0.5000248709167936,0.500748129125969,0.0,0.0,,,,,,1,1,False,categorical,,,,identical,0.0,0.0,0.0,none,6,0.007101688441790365,0.017778572945287705,False,False
Idle Max,shifted,continuous,continuous_multimodal,0.587686875,0.5604969069301748,0.6148768430698253,0.05437993613965042,0.5282741704074884,0.12594753321825486,0.513142640282434,0.1691380608179291,0.5063015515397404,0.13926329660279213,True,0.6,0.3039084675723379,0.02682351793153246,,,0.0010637348162793481,0.0,0.3252273766441609,0.0,0.011534999999999995,5.155179887299525,3.1058558314011724,10.0,0.5000284770474998,0.022737013797822603,0.5465066624490966,0.5907450853583676,0.0,-1.0,0.31206036180180907,0.0,0.3212592092660464,38.73206462404948,0.071,4,4,False,symlog,1.5973611652707014,2280562.191739078,0.7654651279615795,shape_change,0.0,0.0,0.0,none,21762,210143077468142.1,523885889228684.9,False,False
ICMP Type,weak,low-cardinality-discrete,nominal,0.50175,0.5003617774474011,0.503138222552599,0.002776445105197922,0.5,0.0035000000000000586,0.5016653628977323,-0.002338514746855208,0.5,0.0,True,1.0,,,0.011901931173437288,0.6977539407199569,,,,,,,,,0.020206550551880857,0.0006216142441069554,0.5000248542012246,0.5007485667131784,0.0,0.0,,,,,,1,1,False,categorical,,,,identical,0.0,0.0,0.0,none,5,0.008531514409244973,0.13750332594088546,False,False
Idle Std,stable,continuous,structural_change,0.5045599999999999,0.4913119620281627,0.517808037971837,0.02649607594367437,0.5144306879412672,-0.020328072009776037,0.5090123580687149,-0.022440448858093397,0.5034161185115514,0.0011720204987406085,False,0.4,0.3955662826164131,0.016781590843006084,,,0.00013628549937874098,0.0,0.4849255871967992,0.0,0.012074999999999999,0.9792960662525882,2.963070862556261,10.0,0.058991651158255796,0.013665101223158232,0.5599739072659249,0.5569626936367804,-1.0,-1.0,0.40220451412257063,9.090309940540386e-05,0.4763490228676145,33.11360920983669,0.0239,3,4,True,symlog,4.102576685816853,-26167.799334700234,0.9751339157970331,scale_change,0.0,0.0,0.0,none,11170,7089625593598.514,18347886245610.08,False,False
Total TCP Flow Time,shifted,continuous,continuous_multimodal,0.6777412500000001,0.6633697622436256,0.6921127377563745,0.028742975512748847,0.5275462734700874,0.3179040995889008,0.5199999558806881,0.27339329595289147,0.5189646105529538,0.7971770848041935,True,1.0,0.09737098560992806,0.6794138213408594,,,0.0004354918752165197,10.0,0.05966019459864978,0.41361882610721223,0.016204999999999997,10.0,1.390034432539882,10.0,0.3331975730175653,0.5718797994384524,0.6861415591421717,0.5073499818227027,1.0,0.0,0.1635261790308951,0.020916106877026275,0.08433677425387115,261.31434238937067,0.1834,4,4,False,symlog,2.0599701620181325,-319418.9380066343,0.8453009320647178,shape_change,0.0,150049.5,2923789.25,p75,49027,1.4754981861960566e+17,2.5568501684104013e+18,False,False
